收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,1117.99
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,略有磨损,36273,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,769.5
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,久经沙场,36272,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,758.5
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,破损不堪,36274,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,749.99
Chroma 3 Case,PP-野牛 | 阿努比斯之审判,隐秘级,0 ~ 0.5,战痕累累,36270,Chroma 3 Case,rarity_ancient_weapon,PP-Bizon | Judgement of Anubis,crate-4233,788.0
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,崭新出厂,39400,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,789.3
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,略有磨损,39402,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,699.0
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,久经沙场,39401,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,689.9
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,破损不堪,39403,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,10000.0
Chroma 3 Case,PP-野牛（StatTrak™） | 阿努比斯之审判,隐秘级,0 ~ 0.5,战痕累累,39399,Chroma 3 Case,rarity_ancient_weapon,StatTrak™ PP-Bizon | Judgement of Anubis,crate-4233,1300.7
Chroma Case,AWP | 无畏战神,隐秘级,0.1 ~ 0.2,略有磨损,34102,Chroma Case,rarity_ancient_weapon,AWP | Man-o'-war ,crate-4061,778.9
Chroma Case,AWP | 无畏战神,隐秘级,0.1 ~ 0.2,久经沙场,34101,Chroma Case,rarity_ancient_weapon,AWP | Man-o'-war ,crate-4061,780.0
Chroma Case,AWP（StatTrak™） | 无畏战神,隐秘级,0.1 ~ 0.2,略有磨损,38312,Chroma Case,rarity_ancient_weapon,StatTrak™ AWP | Man-o'-war,crate-4061,798.0
Chroma Case,AWP（StatTrak™） | 无畏战神,隐秘级,0.1 ~ 0.2,久经沙场,43914,Chroma Case,rarity_ancient_weapon,StatTrak™ AWP | Man-o'-war,crate-4061,777.0
Chroma Case,加利尔AR | 喧闹骷髅,隐秘级,0.35 ~ 0.85,久经沙场,34907,Chroma Case,rarity_ancient_weapon,Galil AR | Chatterbox,crate-4061,1048.9
Chroma Case,加利尔AR | 喧闹骷髅,隐秘级,0.35 ~ 0.85,破损不堪,34908,Chroma Case,rarity_ancient_weapon,Galil AR | Chatterbox,crate-4061,766.62
